explanation_id,explanatoriness,surprisingness,usefulness,interestingness,cleverness,willingness_to_share,satisfaction,insight,prior_knowledge,belief_average,participant_id,appeal,submissionScore,commentScore,similarity,commentLength,average_knowledge
83,6,3,4,4,4,4,5,6,FALSE,18,63209d3d38b5c490f3bccd01,4,4307,3079,0.50618637,267,0.3
83,6,6,6,5,6,5,5,5,FALSE,49,651ec39e94e965c024ee25c6,5.333333333333333,4307,3079,0.50618637,267,0.3
83,7,7,7,7,7,7,7,7,FALSE,15,615c65e4fa1c6b2e5a7d0971,7,4307,3079,0.50618637,267,0.3
83,5,3,5,2,2,1,2,1,TRUE,14,63d569384ae2cf6d4dce7c32,1.6666666666666667,4307,3079,0.50618637,267,0.3
83,6,3,5,4,3,5,5,3,TRUE,66,641a43f78351cc4fefe31190,4,4307,3079,0.50618637,267,0.3
83,2,3,3,6,3,5,5,4,FALSE,7,629e241d171ec6698e05f149,4.666666666666667,4307,3079,0.50618637,267,0.3
83,6,5,5,4,5,5,4,5,FALSE,28,63474e67a5fd298c6103c409,4.666666666666667,4307,3079,0.50618637,267,0.3
83,7,1,5,2,1,5,4,2,TRUE,80,6318be45a49442eee3a88cb3,2.6666666666666665,4307,3079,0.50618637,267,0.3
83,5,1,4,1,4,5,2,2,FALSE,29,5acbd1ecf69e940001d9cd4d,3.3333333333333335,4307,3079,0.50618637,267,0.3
83,6,5,6,5,6,6,6,4,FALSE,40,5df89cab69a117620a70f1ee,5.666666666666667,4307,3079,0.50618637,267,0.3
84,5,3,5,5,4,4,4,3,TRUE,59,616d9ef881036dfbfd63d2f4,4.333333333333333,791,336,0.5838789,563,0.6363636363636364
84,6,2,7,5,4,7,6,3,TRUE,85,628e0063fa56e316da2a71cb,5.333333333333333,791,336,0.5838789,563,0.6363636363636364
84,7,1,7,4,5,5,5,5,TRUE,65,63d5daa80d80a745de740c13,4.666666666666667,791,336,0.5838789,563,0.6363636363636364
84,6,2,6,5,2,1,6,2,TRUE,35,63d569384ae2cf6d4dce7c32,2.6666666666666665,791,336,0.5838789,563,0.6363636363636364
84,7,1,6,3,5,7,5,4,TRUE,72,603862f99e00971c55fe0874,5,791,336,0.5838789,563,0.6363636363636364
84,1,2,1,2,2,1,3,1,FALSE,10,5ccb779b2c4e1f00159333ea,1.6666666666666667,791,336,0.5838789,563,0.6363636363636364
84,6,2,6,6,5,5,7,2,TRUE,81,627286792f25495f123cc27b,5.333333333333333,791,336,0.5838789,563,0.6363636363636364
